# Photodissociation rates from Table D.1 in Padovani et al. (2024), https://arxiv.org/abs/2312.02062
species,para,ortho,o:p=3.1
Al,0.000000e+00,0.000000e+00,0.000000e+00
AlH,1.641000e+01,1.644000e+01,1.643250e+01
C,0.000000e+00,0.000000e+00,0.000000e+00
C2,1.368000e+02,1.368000e+02,1.368000e+02
C2H,8.184000e+02,9.006000e+02,8.800500e+02
C2H-,0.000000e+00,0.000000e+00,0.000000e+00
C2H2,1.086000e+03,8.684000e+02,9.228000e+02
C2H3,1.567000e+02,1.566000e+02,1.566250e+02
C2H4,1.450000e+03,1.450000e+03,1.450000e+03
C2H5,2.278000e+02,2.262000e+02,2.266000e+02
C2H5OH,1.466000e+03,1.479000e+03,1.475750e+03
C2H6,1.264000e+03,1.284000e+03,1.279000e+03
C3,2.642000e+03,2.600000e+03,2.610500e+03
C3H3,2.762000e+01,2.765000e+01,2.764250e+01
C3H7OH,2.434000e+03,2.470000e+03,2.461000e+03
C4H-,0.000000e+00,0.000000e+00,0.000000e+00
C6H-,0.000000e+00,0.000000e+00,0.000000e+00
CH,4.598000e+02,4.468000e+02,4.500500e+02
CH+,2.045000e+02,1.927000e+02,1.956500e+02
CH2,1.398000e+02,1.383000e+02,1.386750e+02
CH2+,7.252000e+01,7.117000e+01,7.150750e+01
CH3,9.999000e+01,1.058000e+02,1.043475e+02
CH3CHO,8.908000e+02,8.989000e+02,8.968750e+02
CH3CN,1.955000e+03,2.006000e+03,1.993250e+03
CH3NH2,1.777000e+02,1.755000e+02,1.760500e+02
CH3OCH3,9.651000e+02,9.637000e+02,9.640500e+02
CH3OCHO,1.171000e+03,1.177000e+03,1.175500e+03
CH3OH,8.862000e+02,8.892000e+02,8.884500e+02
CH3SH,1.197000e+03,1.203000e+03,1.201500e+03
CH4,9.917000e+02,9.972000e+02,9.958250e+02
CH4+,1.852000e+02,1.840000e+02,1.843000e+02
CN,4.287000e+02,4.350000e+02,4.334250e+02
CO,1.192000e+02,6.450000e+01,7.817500e+01
CO+,4.960000e+01,5.239000e+01,5.169250e+01
CO2,5.850000e+02,6.443000e+02,6.294750e+02
CS,6.416000e+02,5.137000e+02,5.456750e+02
CS2,2.868000e+03,2.687000e+03,2.732250e+03
Ca,0.000000e+00,0.000000e+00,0.000000e+00
Ca+,0.000000e+00,0.000000e+00,0.000000e+00
Cl,0.000000e+00,0.000000e+00,0.000000e+00
Cr,0.000000e+00,0.000000e+00,0.000000e+00
Fe,0.000000e+00,0.000000e+00,0.000000e+00
H,0.000000e+00,0.000000e+00,0.000000e+00
H-,0.000000e+00,0.000000e+00,0.000000e+00
H2,0.000000e+00,0.000000e+00,0.000000e+00
H2+,3.238000e+02,3.290000e+02,3.277000e+02
H2CO,6.247000e+02,6.054000e+02,6.102250e+02
H2CS,9.744000e+02,9.734000e+02,9.736500e+02
H2O,4.715000e+02,4.670000e+02,4.681250e+02
H2O2,3.846000e+02,3.893000e+02,3.881250e+02
H2S,1.387000e+03,1.407000e+03,1.402000e+03
H3+,2.295000e-01,1.746000e-01,1.883250e-01
HC3H,3.659000e+02,3.708000e+02,3.695750e+02
HC3N,2.909000e+03,2.901000e+03,2.903000e+03
HCN,1.052000e+03,1.069000e+03,1.064750e+03
HCO,2.211000e+02,2.110000e+02,2.135250e+02
HCO+,3.049000e+00,3.770000e+00,3.589750e+00
HCOOH,9.896000e+02,1.006000e+03,1.001900e+03
HCl,1.090000e+03,9.841000e+02,1.010575e+03
HCl+,6.558000e+01,6.413000e+01,6.449250e+01
HF,1.022000e+02,1.031000e+02,1.028750e+02
HNC,9.632000e+02,9.729000e+02,9.704750e+02
HNCO,1.431000e+03,1.449000e+03,1.444500e+03
HO2,8.162000e+01,8.122000e+01,8.132000e+01
K,0.000000e+00,0.000000e+00,0.000000e+00
Li,0.000000e+00,0.000000e+00,0.000000e+00
LiH,1.522000e+02,1.518000e+02,1.519000e+02
Mg,0.000000e+00,0.000000e+00,0.000000e+00
MgH,8.085000e+01,9.088000e+01,8.837250e+01
Mn,0.000000e+00,0.000000e+00,0.000000e+00
N,0.000000e+00,0.000000e+00,0.000000e+00
N2,3.372000e+01,4.319000e+01,4.082250e+01
N2O,9.807000e+02,9.976000e+02,9.933750e+02
NH,1.932000e+02,1.860000e+02,1.878000e+02
NH+,1.678000e+01,1.647000e+01,1.654750e+01
NH2,3.539000e+02,3.559000e+02,3.554000e+02
NH2CHO,1.292000e+03,1.294000e+03,1.293500e+03
NH3,6.266000e+02,6.093000e+02,6.136250e+02
NO,1.715000e+02,1.673000e+02,1.683500e+02
NO2,6.022000e+02,6.046000e+02,6.040000e+02
Na,0.000000e+00,0.000000e+00,0.000000e+00
NaCl,5.030000e+01,5.036000e+01,5.034500e+01
NaH,2.323000e+02,2.368000e+02,2.356750e+02
Ni,0.000000e+00,0.000000e+00,0.000000e+00
O,0.000000e+00,0.000000e+00,0.000000e+00
O2,3.077000e+02,3.106000e+02,3.098750e+02
O2+,1.380000e+01,1.420000e+01,1.410000e+01
O3,5.534000e+02,5.633000e+02,5.608250e+02
OCS,2.319000e+03,2.260000e+03,2.274750e+03
OH,2.646000e+02,2.681000e+02,2.672250e+02
OH+,8.375000e+00,8.063000e+00,8.141000e+00
P,0.000000e+00,0.000000e+00,0.000000e+00
PH,3.450000e+02,3.318000e+02,3.351000e+02
PH+,5.632000e+01,5.736000e+01,5.710000e+01
Rb,0.000000e+00,0.000000e+00,0.000000e+00
S,0.000000e+00,0.000000e+00,0.000000e+00
S2,3.176000e+01,3.168000e+01,3.170000e+01
SH,3.782000e+02,3.720000e+02,3.735500e+02
SH+,4.309000e+02,4.220000e+02,4.242250e+02
SO,2.791000e+03,2.827000e+03,2.818000e+03
SO2,1.528000e+03,1.534000e+03,1.532500e+03
Si,0.000000e+00,0.000000e+00,0.000000e+00
SiH,1.852000e+02,1.867000e+02,1.863250e+02
SiH+,6.804000e+02,6.981000e+02,6.936750e+02
SiO,5.673000e+02,5.855000e+02,5.809500e+02
Ti,0.000000e+00,0.000000e+00,0.000000e+00
Zn,0.000000e+00,0.000000e+00,0.000000e+00
c-C3H,1.668000e+02,1.645000e+02,1.650750e+02
c-C3H2,2.523000e+02,2.554000e+02,2.546250e+02
l-C3H,1.326000e+03,1.281000e+03,1.292250e+03
l-C3H2,1.454000e+03,1.432000e+03,1.437500e+03
l-C4,4.637000e+02,4.654000e+02,4.649750e+02
l-C4H,2.321000e+03,2.314000e+03,2.315750e+03
l-C5H,4.787000e+01,4.790000e+01,4.789250e+01
